unique_ID,pedon_ID,horizon,soil_weight_mg,delta13C_vs_VPDB,delta15N_vs_at_air_air,percent_C,percent_N,rep
65,67,a,5.245,-25.65,2.35,5.9,0.34,1
66,68,a,5.16,-27.65,0.88,38.37,1.13,1
67,69,a,5.907,-27.9,0.87,25.34,1.14,1
68,70,a,5.1,-26.51,2.1,26.59,2.12,1
69,71,a,5.178,-27.38,-0.47,10.94,0.64,1
70,72,a,5.307,-26.28,0.28,28.25,0.49,1
71,73,a,3.114,-28.024,-0.384,16.622,0.606,1
72,2,c,5.414,-27.95,1.01,12.73,0.57,1
73,3,c,9.917,-24.46,3.76,0.4,0.07,1
74,4,c,10.563,-24.7,5.8,0.54,0.06,1
75,5,c,41.656,-3.16,5.26,2.98,0.06,1
76,6,c,10.8502,-3.37,4.58,3.05,0.06,1
77,7,c,10.222,-20.85,7.43,0.6,0.08,1
78,8,c,40.38,-24.19,5.11,0.26,0.03,1
79,9,c,40.269,-23.56,4.54,0.15,0.02,1
80,11,c,9.995,-14.28,2.88,0.67,0.08,1
81,12,c,10.16,-11.99,3.96,1.41,0.11,1
82,14,c,10.085,-9.5,3.38,6.69,0.15,1
83,15,c,9.868,-23.68,3.72,0.79,0.09,1
84,16,c,10.769,-12.71,6.1,1.05,0.07,1
85,17,c,11.108,-18.03,4.99,0.83,0.09,1
86,18,c,11.194,-23.96,5.61,0.94,0.08,1
87,19,c,40.44,-24.27,5.3,0.4,0.03,1
88,20,c,10.235,-25.44,4.83,1.85,0.11,1
89,21,c,10.166,-24.3,8.61,1.32,0.07,1
90,22,c,10.337,-25.42,4.94,4.42,0.24,1
91,23,c,10.479,-25.17,4.88,3.32,0.19,1
92,24,c,10.239,-25.29,4.38,7.12,0.34,1
93,25,c,10.826,-24.9,7.17,1.36,0.08,1
94,27,c,39.54,-25.44,4.51,0.84,0.05,1
95,28,c,40.199,-24.55,5.88,1.05,0.07,1
96,29,c,10.064,-24.72,6.2,1.18,0.09,1
97,30,c,40.076,-22.82,7.57,0.12,0.02,1
98,31,c,40.375,-9.39,7.96,0.53,0.02,1
99,32,c,10.587,-19.17,5.85,1.01,0.09,1
100,33,c,40.197,-5.81,5.78,1.93,0.05,1
101,34,c,40.927,-22.12,7.17,0.4,0.03,1
102,36,c,40.438,-19.91,5.55,0.1,0.01,1
103,37,c,10.458,-8.12,8,2.78,0.12,1
104,38,c,10.25,-3.66,3.59,4.94,0.1,1
105,39,c,10.749,-7.25,6.49,0.68,0.06,1
106,40,c,11.056,-12.87,8.47,0.96,0.11,1
107,41,c,11.227,-13.2,8.49,0.98,0.11,1
108,42,c,42.596,-22.42,7.07,0.35,0.03,1
109,43,c,10.473,-13.78,7.08,0.37,0.06,1
110,44,c,10.364,-24.64,6.95,0.6,0.06,1
111,45,c,10.671,-24.48,8.37,0.21,0.05,1
112,46,c,10.082,-25.13,6.84,0.68,0.07,1
113,47,c,10.297,-25.44,7.84,0.68,0.06,1
114,48,c,41.479,-25.77,8.26,0.51,0.04,1
115,49,c,10.566,-26.75,7.34,1.1,0.07,1
116,50,c,10.019,-25.33,8.68,0.57,0.08,1
117,51,c,10.385,-25.72,5.08,0.57,0.11,1
118,52,c,10.487,-26.56,6.33,1.54,0.1,1
119,53,c,40.005,-25.41,6.82,0.93,0.04,1
120,54,c,40.881,-24.61,4.8,0.25,0.04,1
121,55,c,10.638,-24.91,6.28,0.59,0.08,1
122,56,c,10.585,-26.92,3.57,2.07,0.15,1
123,57,c,10.087,-25.56,6.78,7.1,0.26,1
124,58,c,40.101,-24.99,4.34,0.13,0.02,1
125,59,c,10.07,-23.41,5.24,0.19,0.06,1
126,60,c,10.308,-25.45,3.89,0.63,0.07,1
127,61,c,40.879,-25.6,4.38,0.11,0.01,1
128,62,c,10.626,-24.91,6.97,1.3,0.07,1
129,63,c,10.986,-25.07,7.66,2.05,0.11,1
130,64,c,10.17,-24.53,4.51,1.1,0.09,1
131,67,c,10.248,-23.78,6.36,1.85,0.15,1
132,68,c,10.154,-26.81,4.01,8.29,0.39,1
133,69,c,10.597,-26.79,4.72,3.82,0.21,1
134,71,c,10.648,-25.48,3.82,2.33,0.18,1
136,7,e,5.26,-26.1,-0.82,0.58,0.06,1
199,72,c,3.051,-25.29,2.6,30.84,1.21,1
