="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="8/5/2019 11:00:05 AM"	
="Comments"	="final 8 samples!
"	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:20:03 PM"	="2"	="5"	="NPOC"	="24.29"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:28:37 PM"	="3"	="1"	="NPOC"	="48.10"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:31:47 PM"	="3"	="2"	="NPOC"	="47.87"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:35:02 PM"	="3"	="3"	="NPOC"	="49.97"	="10.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:38:20 PM"	="3"	="4"	="NPOC"	="49.61"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:47:06 PM"	="4"	="1"	="NPOC"	="97.54"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:50:35 PM"	="4"	="2"	="NPOC"	="94.90"	="20.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:54:11 PM"	="4"	="3"	="NPOC"	="98.93"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:57:37 PM"	="4"	="4"	="NPOC"	="98.82"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 1:06:23 PM"	="5"	="1"	="NPOC"	="246.9"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 1:09:43 PM"	="5"	="2"	="NPOC"	="240.9"	="50.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 1:13:27 PM"	="5"	="3"	="NPOC"	="251.1"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 1:16:49 PM"	="5"	="4"	="NPOC"	="252.0"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 1:25:02 PM"	="6"	="1"	="NPOC"	="501.0"	="100.0"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 1:28:24 PM"	="6"	="2"	="NPOC"	="487.7"	="100.0"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 1:31:54 PM"	="6"	="3"	="NPOC"	="514.8"	="100.0"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 1:35:26 PM"	="6"	="4"	="NPOC"	="508.5"	="100.0"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 1:44:19 PM"	="1"	="1"	="TN"	="2.283"	="0.5000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 1:47:32 PM"	="1"	="2"	="TN"	="3.730"	="0.5000"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 1:50:27 PM"	="1"	="3"	="TN"	="2.354"	="0.5000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 1:53:14 PM"	="1"	="4"	="TN"	="2.057"	="0.5000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 1:56:44 PM"	="1"	="5"	="TN"	="2.669"	="0.5000"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:03:46 PM"	="2"	="1"	="TN"	="5.428"	="1.000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:06:59 PM"	="2"	="2"	="TN"	="5.809"	="1.000"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:10:16 PM"	="2"	="3"	="TN"	="5.424"	="1.000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:13:26 PM"	="2"	="4"	="TN"	="5.947"	="1.000"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:16:36 PM"	="2"	="5"	="TN"	="5.100"	="1.000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:23:47 PM"	="3"	="1"	="TN"	="9.136"	="1.667"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:27:07 PM"	="3"	="2"	="TN"	="9.206"	="1.667"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:30:18 PM"	="3"	="3"	="TN"	="8.654"	="1.667"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:33:42 PM"	="3"	="4"	="TN"	="9.593"	="1.667"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:36:55 PM"	="3"	="5"	="TN"	="9.117"	="1.667"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:44:48 PM"	="4"	="1"	="TN"	="28.16"	="5.000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:48:16 PM"	="4"	="2"	="TN"	="27.89"	="5.000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:51:51 PM"	="4"	="3"	="TN"	="26.86"	="5.000"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 2:55:13 PM"	="4"	="4"	="TN"	="27.62"	="5.000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 3:02:50 PM"	="5"	="1"	="TN"	="70.71"	="12.50"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 3:06:35 PM"	="5"	="2"	="TN"	="70.59"	="12.50"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 3:10:14 PM"	="5"	="3"	="TN"	="68.71"	="12.50"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 3:17:22 PM"	="6"	="1"	="TN"	="139.1"	="25.00"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 3:21:02 PM"	="6"	="2"	="TN"	="142.5"	="25.00"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 3:24:47 PM"	="6"	="3"	="TN"	="136.8"	="25.00"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	=""	1.00	=""	="8/5/2019 3:28:27 PM"	="6"	="4"	="TN"	="142.2"	="25.00"	=" "	0	="100"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 3:39:04 PM"	="1"	="1"	="NPOC"	="29.51"	="24.90"	="NPOC:25.35mg/L TN:24.26mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 3:42:28 PM"	="1"	="2"	="NPOC"	="29.23"	="24.68"	="NPOC:25.35mg/L TN:24.26mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 3:45:56 PM"	="1"	="3"	="NPOC"	="30.50"	="25.68"	="NPOC:25.35mg/L TN:24.26mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 3:49:09 PM"	="1"	="4"	="NPOC"	="30.24"	="25.47"	="NPOC:25.35mg/L TN:24.26mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 3:39:04 PM"	="1"	="1"	="TN"	="27.54"	="24.64"	="NPOC:25.35mg/L TN:24.26mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 3:42:28 PM"	="1"	="2"	="TN"	="26.68"	="23.88"	="NPOC:25.35mg/L TN:24.26mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 3:45:56 PM"	="1"	="3"	="TN"	="28.72"	="25.68"	="NPOC:25.35mg/L TN:24.26mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 3:49:09 PM"	="1"	="4"	="TN"	="27.10"	="24.25"	="NPOC:25.35mg/L TN:24.26mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 3:58:04 PM"	="1"	="1"	="NPOC"	="1.133"	="0.6495"	="NPOC:0.6339mg/L TN:0.08145mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 4:00:22 PM"	="1"	="2"	="NPOC"	="0.9677"	="0.6171"	="NPOC:0.6339mg/L TN:0.08145mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 4:02:37 PM"	="1"	="3"	="NPOC"	="1.059"	="0.6350"	="NPOC:0.6339mg/L TN:0.08145mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 3:58:04 PM"	="1"	="1"	="TN"	="0.000"	="0.08145"	="NPOC:0.6339mg/L TN:0.08145mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:00:22 PM"	="1"	="2"	="TN"	="0.000"	="0.08145"	="NPOC:0.6339mg/L TN:0.08145mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:02:37 PM"	="1"	="3"	="TN"	="0.000"	="0.08145"	="NPOC:0.6339mg/L TN:0.08145mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1037"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 4:12:10 PM"	="1"	="1"	="NPOC"	="22.77"	="4.901"	="NPOC:4.931mg/L TN:0.7492mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1037"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 4:15:10 PM"	="1"	="2"	="NPOC"	="22.65"	="4.877"	="NPOC:4.931mg/L TN:0.7492mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1037"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 4:18:05 PM"	="1"	="3"	="NPOC"	="23.35"	="5.015"	="NPOC:4.931mg/L TN:0.7492mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1037"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:12:10 PM"	="1"	="1"	="TN"	="2.835"	="0.7072"	="NPOC:4.931mg/L TN:0.7492mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1037"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:15:10 PM"	="1"	="2"	="TN"	="2.930"	="0.7282"	="NPOC:4.931mg/L TN:0.7492mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1037"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:18:05 PM"	="1"	="3"	="TN"	="3.061"	="0.7571"	="NPOC:4.931mg/L TN:0.7492mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1037"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:20:54 PM"	="1"	="4"	="TN"	="3.085"	="0.7624"	="NPOC:4.931mg/L TN:0.7492mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1039"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 4:30:22 PM"	="1"	="1"	="NPOC"	="19.90"	="4.337"	="NPOC:4.361mg/L TN:0.3804mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1039"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 4:33:17 PM"	="1"	="2"	="NPOC"	="19.79"	="4.315"	="NPOC:4.361mg/L TN:0.3804mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1039"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 4:36:14 PM"	="1"	="3"	="NPOC"	="20.55"	="4.465"	="NPOC:4.361mg/L TN:0.3804mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1039"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 4:39:09 PM"	="1"	="4"	="NPOC"	="20.38"	="4.431"	="NPOC:4.361mg/L TN:0.3804mg/L"	0	="80"	
