pedon_ID,location,state,latitude,longitude,sampled_depth,order,elevation_m,region,biome,MAT_C,MAP_mm,aridity_index
29,Merklee,california,38.66673,-119.66681,46,mollisol,2202,pacific coast,desert,5.86,561,0.265
30,Bishop,california,37.33582,-118.48594,10,entisol,1492,pacific coast,desert,12.27,228,0.077
31,Death Valley,california,36.86487,-116.77128,14,aridisol,952,pacific coast,desert,16.12,105,0.03
32,Flagstaff,arizona,35.21865,-111.52502,15,mollisol,1915,southwest,temperate coniferous forest,8.75,486,0.195
33,Jerome,arizona,34.55027,-111.87759,38,unknown,993,southwest,temperate coniferous forest,16.91,392,0.121
34,Tonto,arizona,34.31288,-111.03776,15,unknown,1741,southwest,temperate coniferous forest,10.74,579,0.226
35,Gallup,new mexico,35.50491,-108.50939,9,aridisol,2079,southwest,desert,9.08,310,0.125
36,El Malpais,new mexico,34.95594,-107.82979,14,alfisol,2082,southwest,desert,9.98,282,0.111
37,Vegas,new mexico,35.53826,-105.16809,16,entisol,1989,southwest,temperate grassland,9.43,429,0.176
38,Kiowa,new mexico,36.07344,-104.28123,17,aridisol,1795,southwest,temperate coniferous forest,10.42,392,0.147
39,Rita,texas,36.41055,-102.59466,17,alfisol,1279,southwest,temperate grassland,12.64,427,0.152
40,Silverton,texas,34.48575,-101.36531,20,mollisol,996,southwest,temperate grassland,14.3,533,0.187
41,Arbuckle,oklahoma,34.29457,-96.96809,19,vertisol,243,southwest,temperate grassland,16.78,974,0.429
42,Bonham,texas,33.64435,-96.134,21,alfisol,173,southwest,temperate grassland,17.16,1100,0.502
43,Gambil,texas,33.69976,-95.65833,29,mollisol,166,southwest,temperate grassland,16.94,1149,0.54
44,Ouachita,arkansas,34.68736,-93.81714,15,ultisol,276,southeast,temperate deciduous forest,15.2,1352,0.703
45,Dagmar,arkansas,34.85021,-91.29857,29,vertisol,53,southeast,temperate deciduous forest,16.42,1256,0.613
46,Lewis,tennessee,35.55439,-87.63462,15,ultisol,276,appalachian highlands,temperate deciduous forest,14.08,1446,0.79
47,Prentice,tennessee,35.13363,-85.9183,22,inceptisol,564,appalachian highlands,temperate deciduous forest,14,1546,0.874
48,Stone Mountain,north carolina,36.39753,-81.03891,17,ultisol,536,appalachian highlands,temperate deciduous forest,12.36,1215,0.744
49,Jefferson,virginia,37.80105,-79.63214,20,inceptisol,520,appalachian highlands,temperate deciduous forest,11.52,1049,0.637
50,Monongahela,west virginia,38.96732,-79.23654,,alfisol,510,appalachian highlands,temperate deciduous forest,10.64,973,0.624
51,Finger Lakes,new york,42.49991,-76.78338,20,inceptisol,547,northeast,temperate deciduous forest,7.08,952,0.728
52,Waistfield,vermont,44.18097,-72.81144,20,spodosol,260,northeast,temperate deciduous forest,5.93,1072,0.878
53,White Mountains,new hampshire,44.33556,-71.45993,28,inceptisol,493,northeast,temperate deciduous forest,4.59,1101,0.954
54,Bangor,maine,44.96711,-68.5414,18,spodosol,51,northeast,temperate deciduous forest,6.08,1067,0.828
55,Aroostook,maine,46.60899,-68.00531,30,spodosol,193,northeast,temperate deciduous forest,3.84,924,0.803
56,John Lusby,new brunswick,45.93782,-64.24512,7,spodosol,4,northeast,temperate deciduous forest,5.62,1136,1.078
57,Halifax,nova scotia,44.69163,-63.69352,14,spodosol,57,northeast,temperate deciduous forest,6.56,1448,1.281
58,Kentville,nova scotia,45.04668,-64.51591,23,spodosol,108,northeast,temperate deciduous forest,6.25,1216,1.072
59,Portobello Creek,new brunswick,45.90001,-66.25795,18,spodosol,12,northeast,temperate deciduous forest,5.64,1115,0.978
60,Cabano,quebec,47.65099,-68.90662,18,spodosol,178,northeast,temperate deciduous forest,3.03,1001,0.903
61,Trois Rivieres,quebec,46.29235,-72.7122,15,spodosol,10,northeast,temperate deciduous forest,4.86,993,0.879
62,Vermontville,new york,44.50437,-74.02173,23,spodosol,528,northeast,temperate deciduous forest,4.34,1042,0.93
63,Ohio,new york,43.36009,-74.96658,16,spodosol,403,northeast,temperate deciduous forest,5.73,1258,1.058
64,Moscow Mountain,idaho,46.79864,-116.90064,165,alfisol,1021.3,mountain west,temperate grassland,7.16,700,0.466
65,Brundage,idaho,44.95792,-116.16967,38,inceptisol,1525.7,mountain west,temperate coniferous forest,4.56,618,0.409
66,Payette,idaho,43.83892,-116.24185,34,vertisol,1286.4,mountain west,temperate coniferous forest,8.44,516,0.261
67,Wallowa National Forest,oregon,45.6937,-117.27432,31,andisol,1489.8,mountain west,temperate coniferous forest,4.96,496,0.34
68,Ribdon,alaska,68.87527,-148.85725,10,gelisol,435,arctic,tundra,-9.57,215,0.348
69,Sagavanirktok,alaska,68.80778,-148.8183,7,gelisol,449,arctic,tundra,-9.32,217,0.343
70,Flat,alaska,68.72625,-148.92618,7.5,gelisol,609,arctic,tundra,-8.37,231,0.333
71,Slope mountain,alaska,68.6881,-149.08034,7,gelisol,771,arctic,tundra,-8.77,240,0.371
72,Oksrikuyik Creek,alaska,68.65769,-149.27446,4,gelisol,846,arctic,tundra,-9.2,238,0.381
73,Kuparuk River,alaska,68.64657,-149.40942,5,gelisol,735,arctic,tundra,-9.17,237,0.385
